Title,Author,Price,Rating
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$0.00,4.8 out of 5 stars
The Let Them Theory: A Life-Changing Tool That Millions of People Can’t Stop Talking About,Mel Robbins,$0.00,4.6 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,N/A,$0.00,4.5 out of 5 stars
48 Laws of Power,Robert Greene,$0.00,4.7 out of 5 stars
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,$11.43,4.7 out of 5 stars
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,$0.00,4.8 out of 5 stars
Don't Believe Everything You Think (Expanded Edition): Why Your Thinking Is The Beginning & End Of Suffering (Graduation Gift) (Books By Joseph Nguyen),N/A,$12.54,4.6 out of 5 stars
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,$10.86,4.8 out of 5 stars
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,$13.29,4.5 out of 5 stars
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,$9.99,4.7 out of 5 stars
The 7 Habits of Highly Effective People: 30th Anniversary Edition (The Covey Habits Series),Stephen R. Covey,$11.69,4.8 out of 5 stars
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,$11.83,4.7 out of 5 stars
The Power of Discipline: How to Use Self Control and Mental Toughness to Achieve Your Goals,Daniel Walter,$16.99,4.6 out of 5 stars
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),N/A,$7.05,4.7 out of 5 stars
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,$0.00,4.7 out of 5 stars
Unfu*k Yourself: Get Out of Your Head and into Your Life,N/A,$0.00,4.6 out of 5 stars
12 Rules for Life: An Antidote to Chaos,N/A,$0.00,4.7 out of 5 stars
"Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present (The Path to Calm)",N/A,$10.99,4.5 out of 5 stars
The Book of Alchemy: A Creative Practice for an Inspired Life,Suleika Jaouad,$23.62,4.9 out of 5 stars
